  -5.7916487e-01   7.2469856e-01
   1.1356053e+00   1.7715556e+00
   2.1527117e+00  -7.3802699e-02
  -9.1692990e-02   1.3845505e+00
   7.0206816e-01   1.5245120e+00
   8.4382464e-01   2.5677939e+00
   1.6415373e+00   1.6218620e+00
   1.6297370e+00   1.0042518e+00
   1.5424258e+00   1.4134350e+00
   1.7296957e+00   2.2994908e+00
   1.0691550e+00   1.5567656e+00
  -7.3770459e-01   1.2198795e+00
   1.0325299e+00   1.7099471e+00
   6.4004286e-01   1.2281380e+00
   3.0309357e+00   1.3840945e+00
   9.7115901e-01   1.4734616e+00
   1.6765793e+00   2.0603696e+00
   9.5530634e-01   1.5212504e+00
   1.8710130e-01   2.4023659e+00
   1.4598850e+00   1.0582445e+00
   2.2123565e-01   2.8330036e-01
  -6.9143646e-01   6.9002337e-01
  -1.0162625e-01   2.1929485e+00
  -1.7206420e+00  -5.9105918e-01
  -1.4274810e-01   7.8133127e-01
  -7.1198856e-01   1.0391642e+00
   3.8675966e-01  -3.0863039e-01
   9.5646715e-02  -7.5637530e-01
  -1.1560726e+00   1.2230601e+00
  -7.7624422e-01   6.9530270e-01
  -6.3259898e-01   1.8137946e+00
  -5.4070374e-01  -4.6331330e-01
  -1.4848235e-01  -3.0247541e-01
  -6.6723212e-01  -4.4417801e-01
  -1.8147765e+00  -6.6386200e-01
  -1.9894641e+00  -3.5935634e-01
  -3.5300186e-01  -5.8829805e-02
  -1.7143458e+00   1.8575951e+00
  -1.4165209e+00   2.0756463e+00
  -8.2930883e-01   1.2611916e+00
